procedure_id,mouse_id,procedure_type,procedure_date,series_id,session_no,operator,anesthesia,anesthesia_route,analgesia,analgesia_route,construct/dye,injection_route,site1_hemi,site1_region,site1_ap,site1_ml,site1_dv,outcome,notebook_scan,notes,days_since
pr-ts276-01,ts276,other,2026-02-13,,,ts,,,,,,,,,,,,,,jagular vein test,134
pr-ts276-02,ts276,cranial_window,2026-02-13,,,ts,,,,,,,,,,,,,,チャンバーづけ,134
pr-ts277-01,ts277,other,2026-02-18,,,ts,,,,,,,,,,,,,,jagular vein test,129
pr-ts277-02,ts277,cranial_window,2026-02-18,,,ts,,,,,,,,,,,,,,チャンバーづけ,129
pr-ts278-01,ts278,other,2026-02-20,,,ts,,,,,,,,,,,,,,jagular vein test,127
pr-ts278-02,ts278,cranial_window,2026-02-20,,,ts,,,,,,,,,,,,,,チャンバーづけ,127
pr-ts279-01,ts279,other,2026-02-20,,,ts,,,,,,,,,,,,,,jagular vein test,127
pr-ts279-02,ts279,cranial_window,2026-02-20,,,ts,,,,,,,,,,,,,,チャンバーづけ,127
pr-ts280-01,ts280,imaging,2026-03-10,,,ts,,,,,,,,,,,,,,ear imaging,109
pr-ts281-01,ts281,imaging,2026-03-12,,,ts,,,,,,,,,,,,,,ear imaging,107
pr-ts282-01,ts282,imaging,2026-03-24,,,ts,,,,,,,,,,,,,,ear imaging,95
pr-ts283-01,ts283,imaging,2026-04-09,,,ts,,,,,,,,,,,,,,ear imaging,79
pr-ts284-01,ts284,imaging,2026-04-09,,,ts,,,,,,,,,,,,,,ear imaging,79
pr-ts285-01,ts285,imaging,2026-04-10,,,ts,,,,,,,,,,,,,,ear imaging,78
pr-ts288-01,ts288,imaging,2026-04-13,,,ts,,,,,,,,,,,,,,ear imaging,75
pr-ts289-01,ts289,imaging,2026-04-23,,,ts,,,,,,,,,,,,,,ear imaging,65
pr-sk1-01,sk1,other,2026-02-06,,,sk,,,,,,,,,,,,,,head plate,141
pr-sk2-01,sk2,other,2026-02-16,,,sk,,,,,,,,,,,,,,チャンバーづけ,131
pr-sk2-02,sk2,cranial_window,2026-02-16,,,sk,,,,,,,,,,,,,,チャンバーづけ,131
pr-sk3-01,sk3,cranial_window,2026-02-20,,,sk,,,,,,,,,,,,,,windowつけ,127
pr-sk4-01,sk4,cranial_window,2026-02-27,,,sk,,,,,,,,,,,,,,windowつけ,120
pr-sk5-01,sk5,cranial_window,2026-03-09,,,sk,,,,,,,,,,,,,,windowつけ,110
pr-sk6-01,sk6,cranial_window,2026-03-09,,,sk,,,,,,,,,,,,,,windowつけ,110
pr-sk7-01,sk7,cranial_window,2026-03-09,,,sk,,,,,,,,,,,,,,windowつけ,110
pr-sk8-01,sk8,cranial_window,2026-03-27,,,sk,,,,,,,,,,,,,,windowつけ,92
pr-sk9-01,sk9,cranial_window,2026-03-30,,,sk,,,,,,,,,,,,,,windowつけ,89
pr-sk10-01,sk10,cranial_window,2026-04-02,,,sk,,,,,,,,,,,,,,windowつけ,86
pr-sk11-01,sk11,other,2026-04-07,,,sk,,,,,,,,,,,,,,injection test,81
pr-sk12-01,sk12,cranial_window,2026-04-09,,,sk,,,,,,,,,,,,,,windowつけ,79
pr-sk13-01,sk13,cranial_window,2026-04-16,,,sk,,,,,,,,,,,,,,windowつけ,72
pr-sk14-01,sk14,viral_injection,2026-04-16,,,sk,,,,,AAV1-hSyn-soma-GCamp8s,,,,,,,,,aav injection,72
pr-sk15-01,sk15,cranial_window,2026-04-20,,,sk,,,,,,,,,,,,,,windowつけ,68
pr-sk16-01,sk16,viral_injection,2026-04-21,,,sk,,,,,AAV1-hSyn-soma-GCamp8s(1/3),,,,,,,,,aav injection,67
pr-sk17-01,sk17,viral_injection,2026-04-22,,,sk,,,,,AAV1-hSyn-soma-GCamp8s(1/3),,,,,,,,,aav injection,66
pr-sk18-01,sk18,CM_injection,2026-04-28,,,sk,,,,,,,,,,,,,,大槽内投与,60
pr-sk19-01,sk19,CM_injection,2026-04-28,,,sk,,,,,,,,,,,,,,大槽内投与,60
pr-sk20-01,sk20,cranial_window,2026-04-30,,,sk,,,,,,,,,,,,,,windowつけ,58
